City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
316,Luwuk,46,ID,2020-01-28 23:15:17,81,-0.95,122.79,82.69,10.31
317,San Patricio,0,MX,2020-01-28 23:18:36,63,19.22,-104.7,76.05,4.29
318,Mackay,40,AU,2020-01-28 23:18:36,74,-21.15,149.2,86.0,10.29
319,Buluang,85,PH,2020-01-28 23:18:36,56,13.31,123.34,84.78,2.44
320,Richards Bay,79,ZA,2020-01-28 23:18:37,83,-28.78,32.04,70.88,13.44
321,Port Hardy,75,CA,2020-01-28 23:18:37,87,50.7,-127.42,44.6,24.16
322,Kielce,100,PL,2020-01-28 23:14:24,1,50.87,20.63,36.0,10.83
323,Saint-Louis,3,SN,2020-01-28 23:18:37,31,16.33,-15.0,73.4,2.24
324,Makhinjauri,75,GE,2020-01-28 23:16:06,53,41.67,41.69,50.0,9.17
325,Zemetchino,82,RU,2020-01-28 23:18:37,97,53.5,42.62,26.87,6.91
326,Vila Franca do Campo,40,PT,2020-01-28 23:18:37,82,37.72,-25.43,64.4,26.4
327,Penzance,79,GB,2020-01-28 23:18:38,87,50.12,-5.54,48.0,13.87
328,Launceston,1,AU,2020-01-28 23:18:38,47,-41.45,147.17,80.01,21.92
329,Jieshi,0,CN,2020-01-28 23:18:38,50,22.81,115.83,55.0,3.0
330,Plaster Rock,1,CA,2020-01-28 23:18:38,78,46.91,-67.39,10.99,8.05
331,Tucumcari,1,US,2020-01-28 23:09:15,59,35.17,-103.72,33.8,4.7
332,Yangambi,99,CD,2020-01-28 23:18:38,67,0.81,24.43,69.93,2.3
333,Faya,40,SA,2020-01-28 23:09:10,87,18.39,42.45,53.6,12.75
334,Manono,100,CD,2020-01-28 23:18:38,98,-7.3,27.42,67.46,3.02
335,Cayenne,75,GF,2020-01-28 23:18:38,83,4.93,-52.33,80.6,6.93
336,Olga,100,RU,2020-01-28 23:18:39,89,43.74,135.29,29.59,29.82
337,Litovko,86,RU,2020-01-28 23:18:39,84,49.24,135.17,11.12,3.96
338,Ferrol,75,ES,2020-01-28 23:18:39,93,43.48,-8.24,57.0,2.24
339,Praia,77,CV,2020-01-28 23:15:05,64,14.92,-23.51,71.6,13.87
340,Ilulissat,100,GL,2020-01-28 23:09:01,59,69.22,-51.1,1.4,10.29
341,Nishihara,90,JP,2020-01-28 23:18:39,63,26.18,127.76,62.6,10.29
342,Wielun,5,PL,2020-01-28 23:18:39,84,51.22,18.57,33.01,3.0
343,Plettenberg Bay,100,ZA,2020-01-28 23:18:39,80,-34.05,23.37,67.59,4.61
344,Zhuhai,0,CN,2020-01-28 23:18:39,58,22.28,113.57,61.0,19.46
345,Mossamedes,100,AO,2020-01-28 23:18:39,77,-15.2,12.15,75.15,7.81
346,Putina,100,PE,2020-01-28 23:18:40,58,-15.47,-69.43,51.73,6.44
347,Evensk,100,RU,2020-01-28 23:18:40,94,61.95,159.23,16.11,2.59
348,Grindavik,0,IS,2020-01-28 23:18:40,86,63.84,-22.43,28.4,8.05
349,Watertown,90,US,2020-01-28 23:16:11,55,42.37,-71.18,34.0,8.05
350,Savyntsi,100,UA,2020-01-28 23:18:40,96,49.4,37.06,36.27,10.54
351,Yulara,40,AU,2020-01-28 23:18:40,22,-25.24,130.99,102.2,17.22
352,Tharad,0,IN,2020-01-28 23:18:40,51,24.4,71.63,61.38,1.63
353,Jining,0,CN,2020-01-28 23:18:41,46,35.41,116.58,42.93,7.61
354,Kahului,40,US,2020-01-28 23:18:41,51,20.89,-156.47,80.6,13.87
355,Durango,0,MX,2020-01-28 23:18:41,32,24.83,-104.83,49.96,6.76
356,Teknaf,0,BD,2020-01-28 23:09:13,46,20.86,92.31,69.44,4.03
357,Zemio,0,CF,2020-01-28 23:18:41,25,5.03,25.14,59.18,2.95
358,Pemangkat,100,ID,2020-01-28 23:16:19,72,1.17,108.97,85.33,9.06
359,Matagami,90,CA,2020-01-28 23:18:41,91,49.75,-77.63,3.2,8.05
360,Kovur,6,IN,2020-01-28 23:18:41,72,14.48,79.98,76.98,10.16
361,Whitley Bay,40,GB,2020-01-28 23:18:41,86,55.04,-1.45,39.0,19.46
362,Pangnirtung,7,CA,2020-01-28 23:18:42,88,66.15,-65.71,-28.75,4.25
363,Kivioli,100,EE,2020-01-28 23:18:42,85,59.35,26.97,34.16,15.86
364,Pronsk,94,RU,2020-01-28 23:18:42,99,54.1,39.61,30.99,3.0
365,Bjornevatn,40,NO,2020-01-28 23:18:42,75,69.67,29.98,5.0,12.75
366,Kinsale,20,IE,2020-01-28 23:18:42,80,51.71,-8.53,39.2,11.41
367,Santa Isabel,0,BR,2020-01-28 23:18:42,100,-23.32,-46.22,71.6,5.82
368,Bongandanga,61,CD,2020-01-28 23:18:42,43,1.5,21.05,69.91,1.57
369,Ayan,0,RU,2020-01-28 23:18:42,72,56.45,138.17,2.34,10.22
370,Coquimbo,90,CL,2020-01-28 23:08:44,82,-29.95,-71.34,64.4,4.7
371,Jinxiang,0,CN,2020-01-28 23:18:42,50,22.86,115.7,55.0,3.0
372,Deer Lake,90,CA,2020-01-28 23:18:43,85,49.17,-57.43,23.0,4.7
373,Half Moon Bay,90,US,2020-01-28 23:08:50,87,37.46,-122.43,54.0,4.7
374,Okha,0,RU,2020-01-28 23:18:43,86,53.57,142.95,7.47,9.48
375,Campbell River,90,CA,2020-01-28 23:18:43,93,50.02,-125.24,44.6,9.17
376,Amzacea,36,RO,2020-01-28 23:18:43,100,43.95,28.4,42.01,10.29
377,Scottsboro,99,US,2020-01-28 23:18:43,93,34.67,-86.03,48.2,3.8
378,Bonavista,100,CA,2020-01-28 23:18:43,88,48.65,-53.11,28.99,3.0
379,Midland,1,US,2020-01-28 23:18:43,51,32.0,-102.08,39.99,5.82
380,Bar Harbor,1,US,2020-01-28 23:18:43,79,44.39,-68.2,25.0,8.05
381,Newport,30,GB,2020-01-28 23:18:43,80,51.59,-3.0,44.01,20.8
382,Dabat,26,ET,2020-01-28 23:18:44,42,12.98,37.77,48.81,0.67
383,Bekobod,0,UZ,2020-01-28 23:18:44,53,40.22,69.27,32.0,6.71
384,Kendari,100,ID,2020-01-28 23:18:44,71,-3.94,122.5,87.31,3.49
